"","x"
"1","president"
"2","accuse"
"3","halt"
"4","hour"
"5","tiempo"
"6","drug"
"7","dob"
"8","our"
"9","cotton"
"10","candy"
"11","arrest"
"12","show"
"13","temp"
"14","hr"
"15","offshore"
"16","u"
"17","van"
"18","i"
"19","aid"
"20","how"
"21","karel"
"22","center"
"23","water"
"24","elian"
"25","plane"
"26","fluss"
"27","me"
"28","degree"
"29","theft"
"30","oil"
"31","port"
"32","centrum"
"33","his"
"34","ceo"
"35","she"
"36","boat"
"37","concern"
"38","sanjorge"
"39","begin"
"40","you"
"41","shale"
"42","control"
"43","city"
"44","karel's"
"45","field"
"46","order"
"47","there"
"48","wfa"
"49","two"
"50","no"
"51","assistance"
"52","last"
"53","acidic"
"54","kidnap"
"55","danisliau"
"56","3"
"57","new"
"58","party"
"59","official"
"60","juliana"
"61","fire"
"62","demand"
"63","car"
"64","old"
"65","civil"
"66","servant"
"67","health"
"68","department"
"69","homeland"
"70","illumination"
"71","hyper"
"72","removal"
"73","substrate"
"74","officer"
"75","check"
"76","robber"
"77","stable"
"78","million"
"79","kapelou"
"80","public"
"81","threat"
"82","blog"
"83","crowd"
"84","protestor"
"85","rally"
"86","investigation"
"87","team"
"88","community"
"89","jr"
"90","2"
"91","location"
"92","remain"
"93","door"
"94","declaration"
"95","hospital"
"96","vote"
"97","driver"
"98","edris"
"99","assembly"
"100","flight"
"101","understand"
"102","raise"
"103","family"
"104","connect"
"105","strum"
"106","employee"
"107","few"
"108","over"
"109","what"
"110","staff"
"111","relate"
"112","part"
"113","gate"
"114","passenger"
"115","far"
"116","charge"
"117","meet"
"118","billionaire"
"119","letter"
"120","bend"
"121","gastech's"
"122","tiskele"
"123","information"
"124","speculation"
"125","today"
"126","minister"
"127","site"
"128","avila"
"129","individual"
"130","build"
"131","leave"
"132","state"
"133","chief"
"134","contamination"
"135","small"
"136","sr"
"137","request"
"138","cause"
"139","hank"
"140","vehicle"
"141","add"
"142","child"
"143","here"
"144","school"
"145","speak"
"146","test"
"147","wellness"
"148","customer"
"149","kraft"
"150","response"
"151","investment"
"152","emergency"
"153","seem"
"154","1"
"155","20"
"156","7"
"157","favoritism"
"158","return"
"159","conductor"
"160","facility"
"161","multimillionaire"
"162","development"
"163","cato"
"164","accident"
"165","miss"
"166","towards"
"167","four"
"168","elect"
"169","ii"
"170","communicate"
"171","personnel"
"172","alarm"
"173","cheap"
"174","income"
"175","prefer"
"176","pillar"
"177","arrival"
"178","statement"
"179","damage"
"180","carol"
"181","share"
"182","foreigner"
"183","employ"
"184","so"
"185","call"
"186","headquarter"
"187","noise"
"188","release"
"189","controversial"
"190","back"
"191","high"
"192","answer"
"193","expect"
"194","important"
"195","present"
"196","capitol"
"197","see"
"198","haltings"
"199","client"
"200","land"
"201","through"
"202","wharf"
"203","pier"
"204","choose"
"205","believe"
"206","parliament"
"207","discuss"
"208","technique"
"209","money"
"210","executive"
"211","boy"
"212","nine"
"213","chance"
"214","redeem"
"215","confirm"
"216","security"
"217","demonstration"
"218","construction"
"219","contact"
"220","reader"
"221","ban"
"222","due"
"223","hasr"
"224","probability"
"225","such"
"226","50"
"227","araullo"
"228","marek"
"229","press"
"230","limousine"
"231","federal"
"232","song"
"233","reception"
"234","relationship"
"235","district"
"236","siopa"
"237","6"
"238","any"
"239","terrorist"
"240","mean"
"241","now"
"242","direction"
"243","post"
"244","recent"
"245","scene"
"246","hold"
"247","growth"
"248","defeat"
"249","measure"
"250","her"
"251","join"
"252","km"
"253","george"
"254","st"
"255","safety"
"256","try"
"257","news"
"258","inside"
"259","soon"
"260","clear"
"261","operate"
"262","resident"
"263","township"
"264","criminal"
"265","false"
"266","favor"
"267","another"
"268","leadership"
"269","attend"
"270","result"
"271","spring"
"272","incident"
"273","assault"
"274","carmen"
"275","patrol"
"276","collision"
"277","initial"
"278","program"
"279","interest"
"280","material"
"281","ms"
"282","perhaps"
"283","publish"
"284","source"
"285","upstream"
"286","downtown"
"287","short"
"288","company's"
"289","international's"
"290","drymiau"
"291","30"
"292","eight"
"293","9"
"294","both"
"295","task"
"296","14"
"297","each"
"298","responsibility"
"299","system"
"300","vandalism"
"301","incentive"
"302","lure"
"303","vincent"
"304","word"
"305","act"
"306","election"
"307","union"
"308","street"
"309","rebecca"
"310","ministry"
"311","12"
"312","15"
"313","rapid"
"314","well"
"315","announce"
"316","jet"
"317","ransom"
"318","café"
"319","dorel"
"320","just"
"321","personal"
"322","loot"
"323","tethyn"
"324","peaceful"
"325","1998"
"326","explain"
"327","delouse"
"328","poll"
"329","airport"
"330","remove"
"331","design"
"332","investigate"
"333","brief"
"334","pm"
"335","year's"
"336","active"
"337","among"
"338","crime"
"339","5"
"340","plunder"
"341","megaphone"
"342","signaler"
"343","win"
"344","phone"
"345","barranca"
"346","receive"
"347","luis"
"348","reunion"
"349","upgrade"
"350","destination"
"351","carman"
"352","supplier"
"353","lot"
"354","pais"
"355","vasco"
"356","didn't"
"357","instruct"
"358","pressure"
"359","assistant"
"360","lagos"
"361","unavailable"
"362","cut"
"363","ribbon"
"364","barranco"
"365","conference"
"366","safe"
"367","bomb"
"368","focus"
"369","regulation"
"370","shift"
"371","airplane"
"372","long"
"373","10"
"374","study"
"375","vast"
"376","wear"
"377","indication"
"378","hatch"
"379","national"
"380","black"
"381","grind"
"382","inform"
"383","real"
"384","accardi"
"385","captain"
"386","size"
"387","tape"
"388","earn"
"389","quantity"
"390","silvia"
"391","whom"
"392","depart"
"393","private"
"394","tempt"
"395","mark"
"396","without"
"397","package"
"398","hardly"
"399","exit"
"400","doctor"
"401","room"
"402","unknown"
"403","achieve"
"404","anything"
"405","caterer"
"406","rumor"
"407","execution"
"408","emphasis"
"409","abila's"
"410","difficulty"
"411","soil"
"412","gerhard"
"413","number"
"414","sack"
"415","unusual"
"416","nor"
"417","petrus"
"418","arrive"
"419","medium"
"420","reply"
"421","position"
"422","set"
"423","telephone"
"424","additional"
"425","former"
"426","free"
"427","toll"
"428","327.25"
"429","96.25"
"430","ada"
"431","adviser"
"432","beatriz"
"433","campo"
"434","corrente"
"435","s"
"436","1018"
"437","2014"
"438","allow"
"439","confrontation"
"440","evacuate"
"441","flavor"
"442","jan"
"443","ploy"
"444","fly"
"445","initially"
"446","associate"
"447","3.75"
"448","52"
"449","monday"
"450","86"
"451","araullo's"
"452","fair"
"453","threaten"
"454","conservative"
"455","flag"
"456","groundbreaking"
"457","job"
"458","par"
"459","preliminary"
"460","1245"
"461","protection"
"462","00"
"463","confusion"
"464","fireman"
"465","happen"
"466","january"
"467","respond"
"468","suspect"
"469","frequency"
"470","municipal"
"471","update"
"472","05"
"473","external"
"474","p2o"
"475","21"
"476","ago"
"477","correspondent"
"478","social"
"479","impact"
"480","officially"
"481","choice"
"482","comment"
"483","rufus"
"484","fortune"
"485","labor"
"486","mortality"
"487","19"
"488","40"
"489","actual"
"490","afternoon"
"491","bear"
"492","enter"
"493","healthy"
"494","june"
"495","minute"
"496","cordon"
"497","huge"
"498","2232"
"499","classify"
"500","directly"
"501","guide"
"502","neighborhood"
"503","offer"
"504","stock"
"505","children's"
"506","crash"
"507","custody"
"508","beneath"
"509","deposit"
"510","island"
"511","mediterranean"
"512","dispute"
"513","fifteen"
"514","wait"
"515","clash"
"516","justifiably"
"517","opportunistic"
"518","accord"
"519","enforcement"
"520","law"
"521","stay"
"522","apparent"
"523","roughly"
"524","unturned"
"525","apparently"
"526","peace"
"527","smoke"
"528","8"
"529","tomorrow"
"530","kleptocracy"
"531","luxury"
"532","mansion"
"533","rank"
"534","soiree"
"535","unfettered"
"536","occupant"
"537","overwhelmingly"
"538","1025"
"539","gen"
"540","unit"
"541","kind"
"542","occur"
"543","1999"
"544","5.4"
"545","gross"
"546","locate"
"547","gang"
"548","1255"
"549","cover"
"550","morgue"
"551","net"
"552","cesare"
"553","margin"
"554","propose"
"555","wide"
"556","appeal"
"557","awareness"
"558","situate"
"559","west"
"560","65"
"561","diminish"
"562","emeritus"
"563","light"
"564","role"
"565","wife"
"566","administrative"
"567","miriam"
"568","should"
"569","ally"
"570","consequence"
"571","identify"
"572","neither"
"573","preview"
"574","full"
"575","1251"
"576","perimeter"
"577","policeman"
"578","reconstruct"
"579","yellow"
"580","application"
"581","quickly"
"582","align"
"583","await"
"584","why"
"585","1744"
"586","identity"
"587","mystery"
"588","numb"
"589","rob"
"590","sure"
"591","within"
"592","townspeople's"
"593","coffer"
"594","glitzy"
"595","guise"
"596","historic"
"597","intend"
"598","malcontent"
"599","pestilence"
"600","search"
"601","wealth"
"602","1013"
"603","quality"
"604","appearance"
"605","consistent"
"606","perform"
"607","channel"
"608","editor's"
"609","monitor"
"610","overhear"
"611","scanner"
"612","unspecified"
"613","54"
"614","abnormal"
"615","affair"
"616","assist"
"617","coo"
"618","expert"
"619","shortly"
"620","clock"
"621","confirmation"
"622","investigator"
"623","filing"
"624","newly"
"625","vest"
"626","1020"
"627","doubt"
"628","evacuamento"
"629","producer"
"630","outlet"
"631","kidnapper"
"632","suspicion"
"633","unofficial"
"634","numerous"
"635","1100"
"636","afd"
"637","re"
"638","unite"
"639","dual"
"640","evacuation"
"641","20m"
"642","speculate"
"643","gear"
"644","prosperous"
"645","comprise"
"646","thug"
"647","primary"
"648","again"
"649","appear"
"650","coordinator"
"651","flee"
"652","escape"
"653","let"
"654","represent"
"655","trouble"
"656","cord"
"657","impressive"
"658","sorrow"
"659","departure"
"660","fueler"
"661","italy"
"662","ravi"
"663","relax"
"664","rome"
"665","sixteen"
"666","1130"
"667","announcement"
"668","condemn"
"669","1146"
"670","dismantle"
"671","federigo"
"672","pack"
"673","kapelou’s"
"674","military"
"675","operational"
"676","readdress"
"677","readiness"
"678","recruit"
"679","1506"
"680","resolution"
"681","1345"
"682","evidence"
"683","helicopter"
"684","recommend"
"685","visit"
"686","1155"
"687","domestic"
"688","quarter"
"689","six"
"690","850"
"691","schedule"
"692","administrator"
"693","moreover"
"694","via"
"695","alert"
"696","wake"
"697","account"
"698","strong"
"699","elodisian"
"700","characterize"
"701","252"
"702","elaborate"
"703","internet"
"704","conversation"
"705","revise"
"706","either"
"707","brazen"
"708","string"
"709","terroristic"
"710","website"
"711","dress"
"712","lurk"
"713","uneven"
"714","finding"
"715","fireball"
"716","else"
"717","nephew"
"718","desk"
"719","resupplied"
"720","talk"
"721","purport"
"722","persecution"
"723","poetry"
"724","reading"
"725","prime"
"726","concede"
"727","overnight"
"728","presume"
"729","unconfirmed"
"730","whereabouts"
"731","bureau"
"732","economics"
"733","output"
"734","1232"
"735","cowlings"
"736","1027"
"737","110"
"738","superior"
"739","secure"
"740","automobile"
"741","barricade"
"742","squad"
"743","11"
"744","45"
"745","pull"
"746","trademark"
"747","advisor"
"748","administration's"
"749","nespola's"
"750","1157"
"751","bird"
"752","depth"
"753","dredge"
"754","pair"
"755","performance"
"756","1512"
"757","inner"
"758","sirene"
"759","breakfast"
"760","1840"
"761","motive"
"762","1853"
"763","immediate"
"764","refuel"
"765","transit"
"766","assertion"
"767","guidance"
"768","inspirational"
"769","celebration"
"770","someone"
"771","1052"
"772","1220"
"773","provoke"
"774","restlessness"
