"","title","...5","...6","...7","...8","...9","...10"
"1","2014/03/26","DOC_ID:  234.txt 
 SOURCE:  Everyday News 
 AUTHOR:   
 PUBLISHED:  21-10-2013 
 LOCATION:   
 
 
Interpol has announced the formation of a detachment of forces of the new multi-country to fight the more and more ample distribution of cathinone of methyldimethyl of the drug (MDMC).  To direct the detachment of forces is inspector greater Loblaw Robert, official of the veteran who lead very to guessed right equipment of Tethys Counterdrug.  He is optimist who he can identify the source.
""These drugs of designer have certain tracks as far as their origin,"" Loblaw these times in an interview.  ""Whenever the prescription changes, it leaves tracks as far as it did whom it.  It is like a pedigrí.""
This particular mixture of drug MDMC, also known by its street names the ""caramel of cotton"", the ""spice soña"" and the ""flower of tulip"", was found previously only in Asteria but it has made his way to the streets of Tethys and other international countries.
""I will hardly watch the activities of the army of people of Asterian,"" Loblaw this.  ""Our previous investigations indicated to them like the source of this particular formulation.""
The army of people of Asterian (APA) is an organization paramilitary that has been contracted the financed activities of the terrorist with its criminal companies, that include drug traffic.  These last years the APA has tried to construct to their trade name with Web site and the publication of a professional compartment, of high called quality ""Arise"".
Inspector greater Loblaw says the public statistic of Tethys indicates that MDMC is a problem every greater time with the youth of the country.  ""An increase in mental problems of health, including the hallucinations and the paranoia, accompanied by violent behavior and an increase marked in tariffs of the suicide are only some of the indicators of the use of this drug of designer.""
""In the first place we have alerted to harbor civil employees to be in the observation post for the suspicious shipments of insecticides and detergent, both similars in aspect to MDMC.""
 
","DOC_ID:  687.txt 
 SOURCE:  World Journal 
 AUTHOR:   
 PUBLISHED:  21-10-2013 
 LOCATION:   
 
 
Interpol announced the formation of a new working group of multi-country to fight the increasingly broad distribution of the cathinone of methyldimethyl of drug (MDMC).  To direct the working group is an elder inspector Robert Loblaw, a leader of veteran who carried out the very successful team of Tethys Counterdrug.  It is optimistic that it can identify the source.
""These drugs of originator have certain indices as for their origin,"" Loblaw says times in an interview.  ""Each time the receipt is changed, it leaves indices as for which made.  It is like a pedigree.""
This particular mixture of the drug MDMC, also known by its street calls the ""cotton sugar"", the ""spice dreams"" and the ""flower of tulip"", was found previously only in Asteria but made its manner with the streets of Tethys and other international countries.
""I will look at hard the activities of the popular army of Asterian,"" Loblaw known as.  ""Our preceding investigations moved to them like source of this particular formulation.""
The popular army of Asterian (APA) is a paramilitary organization which was committed in activities of terrorist placed by his criminal companies, which include the traffic of drug.  These last years the APA sought to establish their mark by Web sites and the publication of a professional store and high quality called ""Arise"".
The elder inspector Loblaw says the public statistics of Tethys indicate that MDMC is a problem growing with the youth of the country.  ""An increase in the problems of mental health, including the hallucinations and paranoia, accompanied by the violent behavior and an increase marked in the rates of suicide are only some of the indicators of the use of this drug of originator.""
""We initially alerted the left civils servant to be on the monitoring for suspicious forwardings of insecticides and cleaning product, the two similar ones in the aspect to MDMC.""
 
","","","",""
"2","A CELEBRATION OF UNFETTERED KLEPTOCRACY","DOC_ID:  714.txt 
 SOURCE:  All News Today 
 AUTHOR:   
 PUBLISHED:  19-01-2014 
 LOCATION:  ABILA, Kronos 
 
 
Following the annual GAStech-Kronos corporate meeting GAStech executives and several high-ranking Kronos government officials will attend a celebration at the Kronos capital building to celebrate the unfettered kleptocracy that has kept Kronos public officials in mansions and luxury vehicles.
 
","DOC_ID:  128.txt 
 SOURCE:  Homeland Illumination 
 AUTHOR:  Petrus Gerhard 
 PUBLISHED:  19-01-2014 
 LOCATION:   
 
 
ABILA, Kronos - Following the annual GAStech-Kronos corporate meeting GAStech executives and several high-ranking Kronos government officials will attend a soiree at the Kronos capital building to celebrate the unfettered kleptocracy that has kept Kronos public officials in mansions and luxury vehicles.
We at the Homeland Illumination look forward to hearing what President Kapelou II and CEO Sten Sanjorge Jr. have to say about how this unholy alliance has benefited the citizens of Kronos.   
","DOC_ID:  352.txt 
 SOURCE:  News Online Today 
 AUTHOR:   
 PUBLISHED:  19-01-2014 
 LOCATION:  ABILA, Kronos 
 
 
Following the annual GAStech-Kronos corporate meeting GAStech executives and several high-ranking Kronos government officials will attend a soiree at the Kronos capital building to celebrate the unfettered kleptocracy that has kept Kronos public officials in mansions and luxury vehicles.
 
","","",""
"3","A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL","DOC_ID:  77.txt 
 SOURCE:  All News Today 
 AUTHOR:   
 PUBLISHED:  21-06-2011 
 LOCATION:  ABILA, Kronos 
 
 
Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.  Kraft had reached an agreement with the government that charges would be reduced and the Karel be released pending a trial, but Karel died two days before he was to go free. 
Questions linger, however, about the manner of Karel's death.  Requests for information were met with assurances that the police,  whose custody Karel was in at the time of his death, would do everything possible to perform an exhaustive investigation.  After Karel's body was cremated and sent to his family in Elodis, the Abila Chief of Police closed the case and has declined to answer questions about Karel's death stating that ""we are satisfied the death was of natural causes and will no longer be entertaining inquiries.""
As reported at the time of Karel's death, several people close to the investigation reported that Karel's body showed signs of blunt force trauma, abrasions and lacerations which were not consistent with the cause of death reported by the police. 
Police have denied anything unusual happened in Karel's death and city officials claim the accusations of murder and wrongful death are asserted by POK rabble-rousers attempting to incite instability and violence. 
Yesterday on the morning of June 19th, a small group of POK supporters gathered in front of the Abila Police Station, holding photographs of Elian, and of another young martyr, Juliana Vann, the ten-year old girl who died in 1998 from cancer caused by benzene toxins in her drinking water.   
""Both of them died because of government lies and corruption,"" one man told me who asked that his name be withheld because of concerns of police retaliation.  ""Juliana died because Kronos allowed GAStech to poison our water, and Elian died because he tried to bring Juliana justice.""
 
","DOC_ID:  161.txt 
 SOURCE:  Homeland Illumination 
 AUTHOR:  Petrus Gerhard 
 PUBLISHED:  20-06-2011 
 LOCATION:  ABILA, Kronos 
 
 
Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.  He had been arrested three months prior for spurious charges of tax evasion and left to linger in a jail cell without further legal action.  His attorney, Michale Kraft made several appearances in court demanding that the government outline their specific charges, and release Karel.  Kraft had reached an agreement with the government that charges would be reduced and the Karel be released pending a trial, but Karel died two days before he was to go free.
Questions linger, however, about the manner of Karel’s death.  Requests for information were met with assurances that the police –whose custody Karel was in at the time of his death – would do everything possible to perform an exhaustive investigation.
This “thorough investigation” lasted all of two weeks, including the time it took the Abila City Coroner to lose the original autopsy files.  After Karel’s body was cremated and sent to his family in Elodis, the Abila Chief of Police closed the case and has declined to answer questions about Karel’s death stating that “we are satisfied the death was of natural causes and will no longer be entertaining inquiries.”
As reported at the time of Karel’s death, several people close to the investigation reported that Karel’s body showed signs of blunt force trauma, abrasions and lacerations which were not consistent with the cause of death reported by the police.  These confidential sources have since moved from the area and have been unavailable for contact.
Police have denied anything unusual happened in Karel’s death and city officials claim the accusations of murder and wrongful death are asserted by POK rabble-rousers attempting to incite instability and violence.
Yesterday on the morning of June 19th, a small group of POK supporters gathered in front of the Abila Police Station, holding photographs of Elian, and of another young martyr, Juliana Vann, the ten-year old girl who died in 1998 from cancer caused by benzene toxins in her drinking water.  
“Both of them died because of government lies and corruption,” one man told me who asked that his name be withheld because of concerns of police retaliation.  “Juliana died because Kronos allowed GAStech to poison our water, and Elian died because he tried to bring Juliana justice.  When will it end?”
Another, larger crowd had gathered the day before in a nearby city park to bring public awareness about these same issues.  Amid the speeches and music, I heard the same message from the year before:  “Remember Juliana! Remember Elian!” 
","DOC_ID:  225.txt 
 SOURCE:  Homeland Illumination 
 AUTHOR:  Petrus Gerhard 
 PUBLISHED:  20-06-2011 
 LOCATION:  ABILA, Kronos 
 
 
Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.  He had been arrested three months prior for spurious charges of tax evasion and left to linger in a jail cell without further legal action.  His attorney, Michale Kraft made several appearances in court demanding that the government outline their specific charges, and release Karel.  Kraft had reached an agreement with the government that charges would be reduced and the Karel be released pending a trial, but Karel died two days before he was to go free.
Questions linger, however, about the manner of Karel's death.  Requests for information were met with assurances that the police -whose custody Karel was in at the time of his death - would do everything possible to perform an exhaustive investigation.
This ""thorough investigation"" lasted all of two weeks, including the time it took the Abila City Coroner to lose the original autopsy files.  After Karel's body was cremated and sent to his family in Elodis, the Abila Chief of Police closed the case and has declined to answer questions about Karel's death stating that ""we are satisfied the death was of natural causes and will no longer be entertaining inquiries.""
As reported at the time of Karel's death, several people close to the investigation reported that Karel's body showed signs of blunt force trauma, abrasions and lacerations which were not consistent with the cause of death reported by the police.  These confidential sources have since moved from the area and have been unavailable for contact.
Police have denied anything unusual happened in Karel's death and city officials claim the accusations of murder and wrongful death are asserted by POK rabble-rousers attempting to incite instability and violence.
Yesterday on the morning of June 19th, a small group of POK supporters gathered in front of the Abila Police Station, holding photographs of Elian, and of another young martyr, Juliana Vann, the ten-year old girl who died in 1998 from cancer caused by benzene toxins in her drinking water.  
""Both of them died because of government lies and corruption,"" one man told me who asked that his name be withheld because of concerns of police retaliation.  ""Juliana died because Kronos allowed GAStech to poison our water, and Elian died because he tried to bring Juliana justice.  When will it end?""
Another, larger crowd had gathered the day before in a nearby city park to bring public awareness about these same issues.  Amid the speeches and music, I heard the same message from the year before:  ""Remember Juliana! Remember Elian!"" 
","DOC_ID:  288.txt 
 SOURCE:  News Online Today 
 AUTHOR:   
 PUBLISHED:  21-06-2011 
 LOCATION:  ABILA, Kronos 
 
 
Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.  After Karel's body was cremated and sent to his family in Elodis, the Abila Chief of Police closed the case and has declined to answer questions about Karel's death stating that ""we are satisfied the death was of natural causes and will no longer be entertaining inquiries."" 
As reported at the time of Karel's death, several people close to the investigation reported that Karel'[s body showed signs of blunt force trauma, abrasions and lacerations which were not consistent with the cause of death reported by the police. 
Police have denied anything unusual happened in Karel's death and city officials claim the accusations of murder and wrongful death are asserted by POK rabble-rousers attempting to incite instability and violence.
 
","",""
"4","ABILA AIRPORT CONFIRMS TWO PRIVATE JETS LEFT TODAY","DOC_ID:  633.txt 
 SOURCE:  News Online Today 
 AUTHOR:   
 PUBLISHED:  20-01-2014 
 LOCATION:  ABILA, Kronos 
 
 
Abila Airport fueler Ravi Danisliau confirmed that two private jets took off today after being fueled.  
The second plane also carried seven or eight ""business types"", but seemed ""much more relaxed than the first group of passengers"". The second plane departed around 14:30 around two hours after the first plane.
 
","DOC_ID:  718.txt 
 SOURCE:  The Abila Post 
 AUTHOR:   
 PUBLISHED:  20-01-2014 
 LOCATION:  ABILA, Kronos 
 
 
Abila Airport fueler Ravi Danisliau confirmed that two private jets took off today after being fueled. 
According to Danisliau, the seven or eight passengers of the first plane were ""business types"" and appeared to be in a hurry. It was not exactly clear where they were headed. The plane took off around 12:30 local Kronos time. 
The second plane also carried seven or eight ""business types"", but seemed ""much more relaxed than the first group of passengers"". Danisliau said the second group of passengers ""seemed to be celebrating something."" The second plane departed around 14:30 around two hours after the first plane.
Danisliau confirmed that the second plane's destination was Rome, Italy.
Between the two private jets that departed the Abila Airport fourteen to sixteen people could have been passengers. This could easily account for the leadership of GAStech - Kronos. 
When asked whether or not the two planes had anything to do with GAStech International Danisliau replied, ""I don't ask a lot questions. I just fuel the planes."" 
 
","","","",""
"5","Abila Hospitals Seeing Influx of Designer Drug Users","DOC_ID:  651.txt 
 SOURCE:  International Times 
 AUTHOR:   
 PUBLISHED:  07-02-2013 
 LOCATION:   
 
 
The Emergency Department at Abila General Hospital in Kronos has been swamped in the last month by people suffering medical complications from designer drugs such as ""cotton candy"" and synthetic marijuana, a hospital official said.
""We have had at least two dozen cases in the last month,"" said Alicia Bianca, nurse manager of the department. ""We are literally overwhelmed.""
Bianca said she has never seen this level of activity related to drug overdoses in the seven years she has managed the Emergency Department and in the 20 years she has been a nurse.
Authorities in Abila said ""cotton candy"" may have been a factor in the death of 54-year-old Ralf Potter, whose bruised and naked body was found February 4 along a dead-end road. Investigators are awaiting toxicology reports to determine the cause of his death. Citywide, several deaths have been attributed to ""Cotton Candy"" according to the Kronos National Poison Center.
Patients are coming to Abila General from throughout the greater city region, and they include adults and youths, male and female, and all socio-economic backgrounds, Bianca said.
Sgt Antonio Arresta of the Abila Fire Department, a first-responder to emergency medical calls in the city, said his department has also seen a spike in the number of people needing treatment for complications from designer drugs. ""We went from zero calls to a handful of calls"" in the last month,"" he said.
Bianca and Arresta said their efforts to treat people is made more difficult because they often do not know anything about the designer drugs that were taken.
""You don't know what you're getting when you get it,"" Bianca said. ""We have had patients come in and act out of control, who are very violent. They tell us they have been doing cotton candy or synthetic marijuana.""
Bianca said there is little clinical data on the effects of cotton candy, as it is an emerging toxicant. ""There are no controlled studies in toxicology,"" she said. The national poison center collects anecdotal reports on overdoses from hospitals and other providers as part of efforts to offer advice on how to treat patients.
Designer drugs are chemical compounds synthesized to resemble the active ingredient in often illegal drugs. Cotton candy mimics the drug khat, a stimulant. Manufacturers frequently change the designer drug's chemical composition and its name to stay one step ahead of authorities, Biance said. ""It is another way to sell it,"" she said.
The term cotton candy, for example, is a nickname of the drug and has nothing to do with the carnival treat. The drug has been sold under the name of ""Spice Dreams"" one week and under the name of ""Tulip Blossom"" the next. 
The Kronos government has placed three of the chemicals commonly used in the creation of cotton candy on its controlled substance list, criminalizing their use and possession. Still, the government cannot outright ban cotton candy because manufacturers can alter the recipe and skirt the law, Bianca said. The drugs are sold online as ""herbal therapy"" products and are available over the counter in area stores.
""We still don't know what you are getting with cotton candy. The chemical composition varies from package to package,"" Bianca said.
One factor for the popularity of cotton candy is its low cost, Bianca said. She said a gram of cotton candy costs about K18 while a gram of cocaine costs K166.
Cotton candy creates euphoria, or a high, that is equal to or greater than that of cocaine but also causes a crash that is worse, Bianca said. The crash's ill-effects often prompt people to binge on cotton candy to the point where they consume the drug for days. ""They crave it,"" she said.
After repeated use, the drug ""fries"" a person's brain, draining the chemicals that balance its operations. This sometimes leads to bizarre, often psychotic behavior that has been reported in the media, such as the case of the naked man in Elodis who was found running down the middle of a major highway, Bianca said. ""The seizures and delusions are incredible,"" she said.
While it is not yet certain who is behind the distribution of this round of designer drugs, police suspect organized crime is pursuing this large income source. The Asterian People's Army has traditionally been involved with drug trafficking throughout the region, and enforcement agencies are closely examining possible cooperation between drug trafficking organizations and political insurgent groups.
 
","DOC_ID:  124.txt 
 SOURCE:  News Online Today 
 AUTHOR:   
 PUBLISHED:  08-02-2013 
 LOCATION:   
 
 
The Emergency Department at Abila General Hospital in Kronos has been swamped in the last month by people suffering medical complications from designer drugs such as ""cotton candy"" and synthetic marijuana, a hospital official said. Citywide, several deaths have been attributed to ""Cotton Candy"" according to the Kronos National Poison Center. 
Designer drugs are chemical compounds synthesized to resemble the active ingredient in often illegal drugs. Cotton candy mimics the drug khat, a stimulant. Manufacturers frequently change the designer drug's chemical composition and its name to stay one step ahead of authorities, Biance said. 
The term cotton candy, for example, is a nickname of the drug and has nothing to do with the carnival treat.  
The Kronos government has placed three of the chemicals commonly used in the creation of cotton candy on its controlled substance list, criminalizing their use and possession. Still, the government cannot outright ban cotton candy because manufacturers can alter the recipe and skirt the law, Bianca said. She said a gram of cotton candy costs about K18 while a gram of cocaine costs K166. The crash's ill-effects often prompt people to binge on cotton candy to the point where they consume the drug for days. The Asterian People's Army has traditionally been involved with drug trafficking throughout the region, and enforcement agencies are closely examining possible cooperation between drug trafficking organizations and political insurgent groups.
 
","","","",""
"6","Abila police break up sit-in turned violent at the presidential manor","DOC_ID:  282.txt 
 SOURCE:  International Times 
 AUTHOR:   
 PUBLISHED:  20-06-2012 
 LOCATION:   
 
 
Traffic snarled around the city as Abilians struggle to get to work amid vandalism and looting
Early on Tuesday police stormed the front of the presidential mansion and the capital building, breaking up a sit in by the Protectors of Kronos.
Other activist groups have joined the protesting faction in solidarity and a bigger rally was predicted for later in the day.
The conservative Kronos government used an emergency law to threaten the protestors with arrest unless they dispersed and returned to work.  The row is over environmental issues the POK holds the government and the gas giant GAStech international responsible.
The rallies had begun peacefully, however more destructive activities have escalated as the crowds became more restless. 
Signs among the protester called for government change and social equality.  Images of Juliana Vann, the 10 year old girl who died from illnesses attributed to the industrial giant GAStech international served as rallying points.
People heading to a pro-government counter-rally were attacked by POK supporters, and later shots were fired.  
Tuesday was the third anniversary of the mysterious death of Elian Karel, a popular leader of the POK who died in prison. 
Later in the day, what had been a largely peaceful demonstration turned violent when the crowd started vandalizing government buildings and the presidential homestead.  
A group of younger protestors attacked vehicles, smashing windows.  Minor injuries were reported. 
Police reinforcements were sent to the area and blocked roads, and skirmishes between the police and protestors broke out. 
Police used tear gas to break up the unruly crowd.  Government spokesmen complemented the security forces for their handling of the ""gangs of criminals"" disrupting the peace.  
 
","DOC_ID:  57.txt 
 SOURCE:  News Online Today 
 AUTHOR:   
 PUBLISHED:  21-06-2012 
 LOCATION:  ABILA, Kronos 
 
 
Traffic snarled around the city as Abilians struggle to get to work amid vandalism and looting.
Early on Tuesday police stormed the front of the presidential mansion and the capital building, breaking up a sit in by the Protectors of Kronos.  
Later in the day, what had been a largely peaceful demonstration turned violent when the crowd started vandalizing government buildings and the presidential homestead.  
Police reinforcements were sent to the area and blocked roads, and skirmishes between the police and protestors broke out.
 
","DOC_ID:  132.txt 
 SOURCE:  World Source 
 AUTHOR:   
 PUBLISHED:  20-06-2012 
 LOCATION:   
 
 
Traffic snarled around the city as Abilians struggle to get to work amid vandalism and looting 
Early on Tuesday police stormed the front of the presidential mansion and the capital building, breaking up a sit in by the Protectors of Kronos. 
The conservative Kronos government used an emergency law to threaten the protestors with arrest unless they dispersed and returned to work.  The row is over environmental issues the POK holds the government and the gas giant GAStech international responsible.  
Signs among the protester called for government change and social equality.  Images of Juliana Vann, the 10 year old girl who dies from illnesses attributed to the industrial giant GAStech international served as rallying points.   
Tuesday was the third anniversary of the mysterious death of Elian Karel, a popular leader of the POK who died in prison.  
Later in the day, what had been a largely peaceful demonstration turned violent when the crowd started vandalizing government buildings and the presidential homestead.  
Police reinforcements were sent to the area and blocked roads, and skirmishes between the police and protestors broke out.  
Police used tear gas to break up the unruly crowd.  Government spokesmen complemented the security forces for their handling of the ""gangs of criminals"" disrupting the peace.
 
","","",""
"7","Activist Leader Karel Arrested for Tax Evasion","DOC_ID:  836.txt 
 SOURCE:  International News 
 AUTHOR:   
 PUBLISHED:  12-03-2009 
 LOCATION:  ABILA, Kronos 
 
 
Kronos police arrested Elian Karel today on charges of tax evasion.  Karel, the leader of the activist group ""Protectors of Kronos"", was conducting a meeting with his supporters when he was arrested.  Karel's lawyer, Michale Kraft, released a statement declaring that the charges against his client were false and that he hoped to have Karel released from police custody by week's end.  It is clear that Elian Karel, who professes to have the interests of the people of Kronos at heart, must explain to us why he refuses to contribute to the welfare of his nation.
 
","DOC_ID:  820.txt 
 SOURCE:  Kronos Star 
 AUTHOR:  Marcella Trapani 
 PUBLISHED:  20-12-2009 
 LOCATION:  ABILA, Kronos 
 
 
Kronos police arrested Elian Karel today on charges of tax evasion.  Karel, the leader of the activist group ""Protectors of Kronos"", was conducting a meeting with his supporters when he was arrested.  Karel tried to make light of the situation, but his followers were clearly concerned about the seriousness of the charges leveled against him.  Karel's lawyer, Michale Kraft, released a statement declaring that the charges against his client were false and that he hoped to have Karel released from police custody by week's end.  In response to Kraft's statement, Police spokesman Adrien Carman said, ""I think Mr. Kraft has underestimated the seriousness of his client's situation.""  It is clear that Elian Karel, who professes to have the interests of the people of Kronos at heart, must explain to us why he refuses to contribute to the welfare of his nation. 
","DOC_ID:  451.txt 
 SOURCE:  News Online Today 
 AUTHOR:   
 PUBLISHED:  12-03-2009 
 LOCATION:  ABILA, Kronos 
 
 
Kronos police arrested Elian Karel today on charges of tax evasion.  Karel's lawyer, Michale Kraft, released a statement declaring that the charges against his client were false and that he hoped to have Karel released from police custody by week's end.
 
","","",""
"8","Activists Disrupt Traffic Near Tiskele Bend Fields","DOC_ID:  129.txt 
 SOURCE:  International News 
 AUTHOR:   
 PUBLISHED:  31-08-2001 
 LOCATION:  ABILA, Kronos 
 
 
Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's operations at the site.  The protestors, members of the activist group ""Protectors of Kronos"", held signs reading: ""Drilling Poisoned Our Water"" and ""Remember Juliana"", referring to 10 year old Juliana Vann, who has become an icon for the Protectors of Kronos since her death in 1998.  The protestors were arrested after one young man threw his sign at a government vehicle, cracking its window and startling the occupants.  Police spokesman Adrien Carman said of the arrests, ""We decided to shut the protest down before the POK members escalated to further violence.  ""The people of Kronos have overwhelmingly been for the development of our natural resources and all have benefited from the resultant economic growth.
 
","DOC_ID:  273.txt 
 SOURCE:  Kronos Star 
 AUTHOR:  Marcella Trapani 
 PUBLISHED:  30-08-2001 
 LOCATION:  ABILA, Kronos 
 
 
Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's operations at the site.  The protestors, members of the activist group ""Protectors of Kronos"", held signs reading: ""Drilling Poisoned Our Water"" and ""Remember Juliana"", referring to 10 year old Juliana Vann, who has become an icon for the Protectors of Kronos since her death in 1998.  The protestors were arrested after one young man threw his sign at a government vehicle, cracking its window and startling the occupants.  Police spokesman Adrien Carman said of the arrests, ""We decided to shut the protest down before the POK members escalated to further violence.  They were getting pretty animated out there.""
""These 'Protectors of Kronos' are really a fringe minority of people against the extraction of fossils fuels in our country,"" said Government spokesman Carmine Gurganus.  ""The people of Kronos have overwhelmingly been for the development of our natural resources and all have benefited from the resultant economic growth.  These activists clearly don't understand the whole picture.""
 
","DOC_ID:  544.txt 
 SOURCE:  News Online Today 
 AUTHOR:   
 PUBLISHED:  31-08-2001 
 LOCATION:  ABILA, Kronos 
 
 
Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's operations at the site.  The protestors, members of the activist group ""Protectors of Kronos"", held signs reading: ""Drilling Poisoned Our Water"" and ""Remember Juliana"", referring to 10 year old Juliana Vann, who has become an icon for the Protectors of Kronos since her death in 1998.
 
","","",""
"9","Added Taxes on Oil, Gas Development Defeated in General Assembly","DOC_ID:  636.txt 
 SOURCE:  International News 
 AUTHOR:   
 PUBLISHED:  18-03-2001 
 LOCATION:  ABILA, Kronos 
 
 
A motion to increase taxes on oil and gas development by an additional 10% was defeated today in the General Assembly by a vote of 77 to 23.  The proposed tax increase, championed by Minister of Health Cesare Nespola, was to provide specific funding for health care, clean water projects, and health education for rural areas.  Minister Nespola said of the Assembly vote, ""I'm disappointed by the vote, but the Assembly was concerned that the increase in tax would discourage foreign investment in our energy sector.  Additionally, I will work with President Kapelou's office to restructure the allocation of funds from current gas and oil taxes to provide for rural health projects.""
 
","DOC_ID:  246.txt 
 SOURCE:  Kronos Star 
 AUTHOR:  Eva Thayer 
 PUBLISHED:  17-03-2001 
 LOCATION:  ABILA, Kronos 
 
 
A motion to increase taxes on oil and gas development by an additional 10% was defeated today in the General Assembly by a vote of 77 to 23.  The proposed tax increase, championed by Minister of Health Cesare Nespola, was to provide specific funding for health care, clean water projects, and health education for rural areas.  Minister Nespola said of the Assembly vote, ""I'm disappointed by the vote, but the Assembly was concerned that the increase in tax would discourage foreign investment in our energy sector.  This is a setback to my program to help our rural townships, but I am nothing if not persistent.  My office will be sending a revised added tax measure to the Assembly later this year.  Additionally, I will work with President Kapelou's office to restructure the allocation of funds from current gas and oil taxes to provide for rural health projects.""
 
","DOC_ID:  707.txt 
 SOURCE:  News Online Today 
 AUTHOR:   
 PUBLISHED:  18-03-2001 
 LOCATION:  ABILA, Kronos 
 
 
A motion to increase taxes on oil and gas development by an additional 10% was defeated today in the General Assembly by a vote of 77 to 23.  The proposed tax increase, championed by Minister of Health Cesare Nespola, was to provide specific funding for health care, clean water projects, and health education for rural areas.
 
","","",""
"10","ANNIVERSARY OF PROTESTS","DOC_ID:  34.txt 
 SOURCE:  Central Bulletin 
 AUTHOR:   
 PUBLISHED:  14-06-2010 
 LOCATION:  ABILA, Kronos 
 
 
Last year spontaneous protests and riots broke out around Abila in response to the death of Elian Karel, a Protectors of Kronos (POK) activist. Officials fear a repeat of last year's violent activities around the city on the upcoming anniversary of Karel's death on June 19.  
Government officials issued a brief statement assuring the people of Abila that their ""safety is of the utmost importance. Groups like the Protectors of Kronos operate by fear, attempting to change lives and government through fear. 
The brief government statement ended there with a promise not to back down to protesters, if there are indeed protests. Hagar Awelon, a shop-owner in Siopa district of Abila heavily impacted by last year's events, responded to the government statement: ""They [Government of Kronos] must do more than they did last year.""
 
","DOC_ID:  190.txt 
 SOURCE:  News Desk 
 AUTHOR:   
 PUBLISHED:  15-06-2010 
 LOCATION:  ABILA, Kronos 
 
 
Previous year the spontaneous protests and babble around Abila in reply to the death of Elian Karel from, guards of the activist Kronos (of POK). The civil servants fear a recurrence of the violent activities of previous year around the city on the pleasing anniversary of the death of Karel on 19 June. 
Civil servants of the government gave that to a short declaration from people insuring of Abila their security of the largest importance are. Concern your matter usual. The groups such as the guards of Kronos continue working apprehension, which tries living and government change apprehension. Your government to fear-mongering.
The short government declaration concluded there with a promise to scratch if to protesters, there are indeed protests. Hagar Awelon, a shop owner in district Siopa van Abila that by the events of previous year is influenced heavily, answered to the government declaration: They [government of Kronos] must do more than they previous year. My windows were break, stolen my goods destroyed or, and my zoon was attacked then he the rise defended. They must do more.
 
","DOC_ID:  378.txt 
 SOURCE:  News Online Today 
 AUTHOR:   
 PUBLISHED:  14-06-2010 
 LOCATION:  ABILA, Kronos 
 
 
Last year spontaneous protests and riots broke out around Abila in response to the death of Elian Karel, a Protectors of Kronos (POK) activist. Hagar Awelon, a shop-owner in Siopa district of Abila heavily impacted by last year's events, responded to the government statement: ""They [Government of Kronos] must do more than they did last year.
 
","DOC_ID:  812.txt 
 SOURCE:  The Abila Post 
 AUTHOR:   
 PUBLISHED:  13-06-2010 
 LOCATION:  ABILA, Kronos 
 
 
Last year spontaneous protests and riots broke out around Abila in response to the death of Elian Karel, a Protectors of Kronos (POK) activist. Officials fear a repeat of last year's violent activities around the city on the upcoming anniversary of Karel's death on June 19. 
Government officials issued a brief statement assuring the people of Abila that their ""safety is of the utmost importance. Go about your business as usual. Groups like the Protectors of Kronos operate by fear, attempting to change lives and government through fear. Your government will not back down to fear-mongering.""
The brief government statement ended there with a promise not to back down to protesters, if there are indeed protests. Hagar Awelon, a shop-owner in Siopa district of Abila heavily impacted by last year's events, responded to the government statement: ""They [Government of Kronos] must do more than they did last year. My windows were smashed, my goods destroyed or stolen, and my son was attacked when he defended the store. They must do more.""
 
","DOC_ID:  334.txt 
 SOURCE:  The Explainer 
 AUTHOR:   
 PUBLISHED:  14-06-2010 
 LOCATION:  ABILA, Kronos 
 
 
The spontaneous protests and uproars the last year exploded around Abila in answer to the death of Elian Karel, the protectors of the activist of Kronos (POK). The civil employees fear a repetition of the violent activities of the year last around the city in the next anniversary of the death of Karel the 19 of June. 
The officials of the government published a brief declaration who assured people Abila that its ""security is fundamental. To go as usual on its business. The groups as the protectors of Kronos work by fear, trying to change to lives and the government with fear. His government will not move down fear-mongering backwards.""
The brief declaration of the government finished there with a promise of not moving down backwards to the demonstrators, if there are in fact protests. Hagar Awelon, to make buy-owner in districto of Siopa de Abila affected heavy by the events of the last year, responded to the declaration of the government: ""[Government of Kronos] must do more than they made the year last. My windows were broken, my destroyed merchandize or were robbed, and attacked my son when he defended the warehouse. They must do more.""
 
",""
